car_ID,CarName,fueltype,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,horsepower,citympg,highwaympg,price
1,alfa-romero giulia,gas,2,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,dohc,4,130,mpfi,111,21,27,13495
2,alfa-romero stelvio,gas,2,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,dohc,4,130,mpfi,111,21,27,16500
3,alfa-romero Quadrifoglio,gas,2,hatchback,rwd,front,94.5,171.2,65.5,52.4,2823,ohcv,6,152,mpfi,154,19,26,16500
4,audi 100 ls,gas,4,sedan,fwd,front,99.8,176.6,66.2,54.3,2337,ohc,4,109,mpfi,102,24,30,13950
5,audi 100ls,gas,4,sedan,4wd,front,99.4,176.6,66.4,54.3,2824,ohc,3,136,mpfi,115,18,22,17450
6,audi fox,gas,2,sedan,fwd,front,99.8,177.3,66.3,53.1,2507,ohc,5,136,mpfi,110,19,25,15250
7,audi 100ls,gas,4,sedan,fwd,front,105.8,192.7,71.4,55.7,2844,ohc,5,136,mpfi,110,19,25,17710
8,audi 5000,gas,4,wagon,fwd,front,105.8,192.7,71.4,55.7,2954,ohc,5,136,mpfi,110,19,25,18920
9,audi 4000,gas,4,sedan,fwd,front,105.8,192.7,71.4,55.9,3086,ohc,5,131,mpfi,140,17,20,23875
10,audi 5000s (diesel),gas,2,hatchback,4wd,front,99.5,178.2,67.9,52,3053,ohc,5,131,mpfi,160,16,22,17859
11,bmw 320i,gas,2,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,ohc,4,108,mpfi,101,23,29,16430
12,bmw 320i,gas,4,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,ohc,4,108,mpfi,101,23,29,16925
13,bmw x1,gas,2,sedan,rwd,front,101.2,176.8,64.8,54.3,2710,ohc,6,164,mpfi,121,21,28,20970
14,bmw x3,gas,4,sedan,rwd,front,101.2,176.8,64.8,54.3,2765,ohc,6,164,mpfi,121,21,28,21105
15,bmw z4,gas,4,sedan,rwd,front,103.5,189,66.9,55.7,3055,ohc,6,164,mpfi,121,20,25,24565
16,bmw x4,gas,4,sedan,rwd,front,103.5,189,66.9,55.7,3230,ohc,6,209,mpfi,182,16,22,30760
17,bmw x5,gas,2,sedan,rwd,front,103.5,193.8,67.9,53.7,3380,ohc,6,209,mpfi,182,16,22,41315
18,bmw x3,gas,4,sedan,rwd,front,110,197,70.9,56.3,3505,ohc,6,209,mpfi,182,15,20,36880
19,chevrolet impala,gas,2,hatchback,fwd,front,88.4,141.1,60.3,53.2,1488,l,3,61,2bbl,48,47,53,5151
20,chevrolet monte carlo,gas,2,hatchback,fwd,front,94.5,155.9,63.6,52,1874,ohc,4,90,2bbl,70,38,43,6295
21,chevrolet vega 2300,gas,4,sedan,fwd,front,94.5,158.8,63.6,52,1909,ohc,4,90,2bbl,70,38,43,6575
22,dodge rampage,gas,2,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,ohc,4,90,2bbl,68,37,41,5572
23,dodge challenger se,gas,2,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,ohc,4,90,2bbl,68,31,38,6377
24,dodge d200,gas,2,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,ohc,4,98,mpfi,102,24,30,7957
25,dodge monaco (sw),gas,4,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,ohc,4,90,2bbl,68,31,38,6229
26,dodge colt hardtop,gas,4,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,ohc,4,90,2bbl,68,31,38,6692
27,dodge colt (sw),gas,4,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,ohc,4,90,2bbl,68,31,38,7609
28,dodge coronet custom,gas,2,sedan,fwd,front,93.7,157.3,63.8,50.6,2191,ohc,4,98,mpfi,102,24,30,8558
29,dodge dart custom,gas,4,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,ohc,4,122,2bbl,88,24,30,8921
30,dodge coronet custom (sw),gas,2,hatchback,fwd,front,95.9,173.2,66.3,50.2,2811,ohc,4,156,mfi,145,19,24,12964
31,honda civic,gas,2,hatchback,fwd,front,86.6,144.6,63.9,50.8,1713,ohc,4,92,1bbl,58,49,54,6479
32,honda civic cvcc,gas,2,hatchback,fwd,front,86.6,144.6,63.9,50.8,1819,ohc,4,92,1bbl,76,31,38,6855
33,honda civic,gas,2,hatchback,fwd,front,93.7,150,64,52.6,1837,ohc,4,79,1bbl,60,38,42,5399
34,honda accord cvcc,gas,2,hatchback,fwd,front,93.7,150,64,52.6,1940,ohc,4,92,1bbl,76,30,34,6529
35,honda civic cvcc,gas,2,hatchback,fwd,front,93.7,150,64,52.6,1956,ohc,4,92,1bbl,76,30,34,7129
36,honda accord lx,gas,4,sedan,fwd,front,96.5,163.4,64,54.5,2010,ohc,4,92,1bbl,76,30,34,7295
37,honda civic 1500 gl,gas,4,wagon,fwd,front,96.5,157.1,63.9,58.3,2024,ohc,4,92,1bbl,76,30,34,7295
38,honda accord,gas,2,hatchback,fwd,front,96.5,167.5,65.2,53.3,2236,ohc,4,110,1bbl,86,27,33,7895
39,honda civic 1300,gas,2,hatchback,fwd,front,96.5,167.5,65.2,53.3,2289,ohc,4,110,1bbl,86,27,33,9095
40,honda prelude,gas,4,sedan,fwd,front,96.5,175.4,65.2,54.1,2304,ohc,4,110,1bbl,86,27,33,8845
41,honda accord,gas,4,sedan,fwd,front,96.5,175.4,62.5,54.1,2372,ohc,4,110,1bbl,86,27,33,10295
42,honda civic,gas,4,sedan,fwd,front,96.5,175.4,65.2,54.1,2465,ohc,4,110,mpfi,101,24,28,12945
